word1,word2,word3,n,date
carriers,van,kerkhove,79,2020-06-08T00:00:00Z
catching,covid,19,79,2020-06-08T00:00:00Z
covid,19,continues,79,2020-06-08T00:00:00Z
covid,19,information,79,2020-06-08T00:00:00Z
covid,19,precautions,79,2020-06-08T00:00:00Z
covid,19,stay,79,2020-06-08T00:00:00Z
covid,siege,theyre,79,2020-06-08T00:00:00Z
sue,gov,beshear,79,2020-06-08T00:00:00Z
updated,june,08,79,2020-06-08T00:00:00Z
ー,19,coronavirus,78,2020-06-08T00:00:00Z
covid,19,alert,78,2020-06-08T00:00:00Z
covid,19,doesnt,78,2020-06-08T00:00:00Z
covid,19,started,78,2020-06-08T00:00:00Z
covid,19,support,78,2020-06-08T00:00:00Z
stock,market,news,78,2020-06-08T00:00:00Z
todays,covid,19,78,2020-06-08T00:00:00Z
worldwide,covid,19,78,2020-06-08T00:00:00Z
york,covid,19,78,2020-06-08T00:00:00Z
19,daily,live,77,2020-06-08T00:00:00Z
additional,covid,19,77,2020-06-08T00:00:00Z
address,covid,19,77,2020-06-08T00:00:00Z
covid,death,rate,77,2020-06-08T00:00:00Z
curb,covid,19,77,2020-06-08T00:00:00Z
daily,live,giveaways,77,2020-06-08T00:00:00Z
giveaway,tommorow,click,77,2020-06-08T00:00:00Z
las,vegas,reopens,77,2020-06-08T00:00:00Z
manager,describes,life,77,2020-06-08T00:00:00Z
news,noticias,bitcoin,77,2020-06-08T00:00:00Z
noticias,bitcoin,cryptocurrency,77,2020-06-08T00:00:00Z
tested,covid,19,77,2020-06-08T00:00:00Z
tommorow,click,gt,77,2020-06-08T00:00:00Z
08,june,2020,76,2020-06-08T00:00:00Z
2,covid,19,76,2020-06-08T00:00:00Z
coronavirus,deaths,top,76,2020-06-08T00:00:00Z
covid,19,accusation,76,2020-06-08T00:00:00Z
covid,19,antibodies,76,2020-06-08T00:00:00Z
covid,19,time,76,2020-06-08T00:00:00Z
handling,covid,19,76,2020-06-08T00:00:00Z
norwegian,scientist,birger,76,2020-06-08T00:00:00Z
reduced,infection,rate,76,2020-06-08T00:00:00Z
count,probable,coronavirus,75,2020-06-08T00:00:00Z
covid,19,join,75,2020-06-08T00:00:00Z
covid,19,shutdowns,75,2020-06-08T00:00:00Z
hed,sue,gov,75,2020-06-08T00:00:00Z
indias,covid,19,75,2020-06-08T00:00:00Z
lawmakers,test,positive,75,2020-06-08T00:00:00Z
live,stock,market,75,2020-06-08T00:00:00Z
2025,cumulative,impact,74,2020-06-08T00:00:00Z
covid,19,hospitalizations,74,2020-06-08T00:00:00Z
eliminates,covid,19,74,2020-06-08T00:00:00Z
public,health,issue,74,2020-06-08T00:00:00Z
report,global,forecast,74,2020-06-08T00:00:00Z
research,report,global,74,2020-06-08T00:00:00Z
tested,covid,positive,74,2020-06-08T00:00:00Z
updates,june,08,74,2020-06-08T00:00:00Z
abia,governor,tests,73,2020-06-08T00:00:00Z
bame,women,suffer,73,2020-06-08T00:00:00Z
bloodied,store,manager,73,2020-06-08T00:00:00Z
coronavirus,patients,stranded,73,2020-06-08T00:00:00Z
covid,19,check,73,2020-06-08T00:00:00Z
cure,covid,19,73,2020-06-08T00:00:00Z
declared,coronavirus,free,73,2020-06-08T00:00:00Z
india,coronavirus,patients,73,2020-06-08T00:00:00Z
test,swab,factory,73,2020-06-08T00:00:00Z
women,suffer,harder,73,2020-06-08T00:00:00Z
anti,racism,protests,72,2020-06-08T00:00:00Z
campbellclaret,borisjohnson,jacindaardern,72,2020-06-08T00:00:00Z
covid,19,including,72,2020-06-08T00:00:00Z
covid,19,learn,72,2020-06-08T00:00:00Z
covid,19,police,72,2020-06-08T00:00:00Z
covid,19,victims,72,2020-06-08T00:00:00Z
covid,19,visit,72,2020-06-08T00:00:00Z
dr,congo,captured,72,2020-06-08T00:00:00Z
global,coronavirus,death,72,2020-06-08T00:00:00Z
harder,financial,hit,72,2020-06-08T00:00:00Z
lockdowns,reduced,infection,72,2020-06-08T00:00:00Z
news,sky,news,72,2020-06-08T00:00:00Z
officially,covid,free,72,2020-06-08T00:00:00Z
suffer,harder,financial,72,2020-06-08T00:00:00Z
trumps,maskless,visit,72,2020-06-08T00:00:00Z
us,economy,officially,72,2020-06-08T00:00:00Z
19,test,swab,71,2020-06-08T00:00:00Z
covid,19,spike,71,2020-06-08T00:00:00Z
covid,test,tomorrow,71,2020-06-08T00:00:00Z
fuck,covid,19,71,2020-06-08T00:00:00Z
zealand,eliminates,covid,71,2020-06-08T00:00:00Z
zealand,lifts,lockdown,71,2020-06-08T00:00:00Z
covid,19,fears,70,2020-06-08T00:00:00Z
covid,19,task,70,2020-06-08T00:00:00Z
covid19,covid,coronavirus,70,2020-06-08T00:00:00Z
maine,covid,19,70,2020-06-08T00:00:00Z
staff,test,positive,70,2020-06-08T00:00:00Z
swab,factory,destroys,70,2020-06-08T00:00:00Z
19,task,force,69,2020-06-08T00:00:00Z
post,covid,recovery,69,2020-06-08T00:00:00Z
thursday,june,11,69,2020-06-08T00:00:00Z
underlying,health,conditions,69,2020-06-08T00:00:00Z
world,war,ii,69,2020-06-08T00:00:00Z
19,alert,level,68,2020-06-08T00:00:00Z
allotted,coronavirus,money,68,2020-06-08T00:00:00Z
avoid,covid,19,68,2020-06-08T00:00:00Z
coronavirus,money,angering,68,2020-06-08T00:00:00Z
coronavirus,uk,bame,68,2020-06-08T00:00:00Z
covid,19,affected,68,2020-06-08T00:00:00Z
covid,19,exposure,68,2020-06-08T00:00:00Z
covid,19,medical,68,2020-06-08T00:00:00Z
covid,19,public,68,2020-06-08T00:00:00Z
covid,19,wave,68,2020-06-08T00:00:00Z
death,toll,passes,68,2020-06-08T00:00:00Z
follow,covid,19,68,2020-06-08T00:00:00Z
front,line,workers,68,2020-06-08T00:00:00Z
support,covid,19,68,2020-06-08T00:00:00Z
tuesday,june,9,68,2020-06-08T00:00:00Z
uk,bame,women,68,2020-06-08T00:00:00Z
uk,covid,19,68,2020-06-08T00:00:00Z
update,june,8,68,2020-06-08T00:00:00Z
covid,19,bringing,67,2020-06-08T00:00:00Z
police,brutality,lit,67,2020-06-08T00:00:00Z
survive,covid,19,67,2020-06-08T00:00:00Z
symptomless,taskforce,head,67,2020-06-08T00:00:00Z
top,7,million,67,2020-06-08T00:00:00Z
19,travel,restrictions,66,2020-06-08T00:00:00Z
2,months,ago,66,2020-06-08T00:00:00Z
coronavirus,restrictions,17,66,2020-06-08T00:00:00Z
covid,19,curve,66,2020-06-08T00:00:00Z
covid,19,fatalities,66,2020-06-08T00:00:00Z
hidden,death,toll,66,2020-06-08T00:00:00Z
live,news,lockdowns,66,2020-06-08T00:00:00Z
local,covid,19,66,2020-06-08T00:00:00Z
narendramodi,amitshah,pmoindia,66,2020-06-08T00:00:00Z
news,lockdowns,reduced,66,2020-06-08T00:00:00Z
public,health,measures,66,2020-06-08T00:00:00Z
covid,19,confirmed,65,2020-06-08T00:00:00Z
covid,death,toll,65,2020-06-08T00:00:00Z
deaths,coronavirus,covid19,65,2020-06-08T00:00:00Z
health,officials,reported,65,2020-06-08T00:00:00Z
mexicos,leftist,leader,65,2020-06-08T00:00:00Z
post,covid,economy,65,2020-06-08T00:00:00Z
pre,existing,conditions,65,2020-06-08T00:00:00Z
president,jair,bolsonaro,65,2020-06-08T00:00:00Z
world,oceans,day,65,2020-06-08T00:00:00Z
dance,pm,ardern,64,2020-06-08T00:00:00Z
ease,viruss,sting,64,2020-06-08T00:00:00Z
eliminating,covid,19,64,2020-06-08T00:00:00Z
leftist,leader,rejects,64,2020-06-08T00:00:00Z
million,us,coronavirus,64,2020-06-08T00:00:00Z
10,june,2020,63,2020-06-08T00:00:00Z
