word1,word2,n,date
4clearsky,scienceblog3,243,2021-12-24T00:00:00Z
heart,attack,243,2021-12-24T00:00:00Z
aristotlemrs,ingersolrobert,242,2021-12-24T00:00:00Z
corona,virus,242,2021-12-24T00:00:00Z
covid,ain,242,2021-12-24T00:00:00Z
dr,fauci,242,2021-12-24T00:00:00Z
urgent,care,242,2021-12-24T00:00:00Z
covid,update,241,2021-12-24T00:00:00Z
past,week,241,2021-12-24T00:00:00Z
rapid,antigen,241,2021-12-24T00:00:00Z
11,12,240,2021-12-24T00:00:00Z
southern,african,240,2021-12-24T00:00:00Z
chimera414,bubbasranch,239,2021-12-24T00:00:00Z
narvuntien,4clearsky,239,2021-12-24T00:00:00Z
18,months,238,2021-12-24T00:00:00Z
spend,time,236,2021-12-24T00:00:00Z
glenncarr6,organicdot,235,2021-12-24T00:00:00Z
isolation,time,235,2021-12-24T00:00:00Z
social,distance,235,2021-12-24T00:00:00Z
super,spreader,235,2021-12-24T00:00:00Z
warp,speed,235,2021-12-24T00:00:00Z
3,times,234,2021-12-24T00:00:00Z
bad,news,234,2021-12-24T00:00:00Z
covid,policy,234,2021-12-24T00:00:00Z
covid,yesterday,234,2021-12-24T00:00:00Z
medical,officer,234,2021-12-24T00:00:00Z
unvaccinated,covid,234,2021-12-24T00:00:00Z
12,23,233,2021-12-24T00:00:00Z
19,infection,233,2021-12-24T00:00:00Z
damn,covid,232,2021-12-24T00:00:00Z
coronavirus,covid19,231,2021-12-24T00:00:00Z
december,23,231,2021-12-24T00:00:00Z
pandemic,christmas,231,2021-12-24T00:00:00Z
1,3,230,2021-12-24T00:00:00Z
stopped,covid,230,2021-12-24T00:00:00Z
booster,jab,229,2021-12-24T00:00:00Z
christmas,flights,229,2021-12-24T00:00:00Z
1,5,228,2021-12-24T00:00:00Z
23,2021,228,2021-12-24T00:00:00Z
anti,vaxxer,227,2021-12-24T00:00:00Z
antigen,tests,227,2021-12-24T00:00:00Z
booster,dose,227,2021-12-24T00:00:00Z
covid,jabs,227,2021-12-24T00:00:00Z
jimdtweet,dawntj90,227,2021-12-24T00:00:00Z
13,million,226,2021-12-24T00:00:00Z
covid19,omicron,226,2021-12-24T00:00:00Z
vaccines,don,226,2021-12-24T00:00:00Z
9,571,225,2021-12-24T00:00:00Z
ponycar06,jimdtweet,225,2021-12-24T00:00:00Z
19,virus,224,2021-12-24T00:00:00Z
gas,prices,224,2021-12-24T00:00:00Z
times,square,224,2021-12-24T00:00:00Z
christmas,party,222,2021-12-24T00:00:00Z
merry,covid,222,2021-12-24T00:00:00Z
omicron,coronavirus,222,2021-12-24T00:00:00Z
taking,care,222,2021-12-24T00:00:00Z
19,treatment,221,2021-12-24T00:00:00Z
28,days,221,2021-12-24T00:00:00Z
3,4,221,2021-12-24T00:00:00Z
covid,3,221,2021-12-24T00:00:00Z
live,updates,221,2021-12-24T00:00:00Z
yamani,11,221,2021-12-24T00:00:00Z
current,covid,220,2021-12-24T00:00:00Z
pm,modi,220,2021-12-24T00:00:00Z
covid,crisis,219,2021-12-24T00:00:00Z
mask,wearing,219,2021-12-24T00:00:00Z
canceled,due,218,2021-12-24T00:00:00Z
hospital,admissions,218,2021-12-24T00:00:00Z
prime,minister,218,2021-12-24T00:00:00Z
breaking,news,217,2021-12-24T00:00:00Z
covid,stuff,217,2021-12-24T00:00:00Z
19,surge,216,2021-12-24T00:00:00Z
bigrakadoc,glenncarr6,216,2021-12-24T00:00:00Z
fda,authorizes,216,2021-12-24T00:00:00Z
health,ministry,216,2021-12-24T00:00:00Z
mortality,rate,215,2021-12-24T00:00:00Z
omicron,wave,215,2021-12-24T00:00:00Z
worry,doris,215,2021-12-24T00:00:00Z
covid,ruined,214,2021-12-24T00:00:00Z
line,workers,214,2021-12-24T00:00:00Z
staff,shortages,214,2021-12-24T00:00:00Z
19,variant,213,2021-12-24T00:00:00Z
vaccine,booster,213,2021-12-24T00:00:00Z
north,carolina,212,2021-12-24T00:00:00Z
spanish,flu,212,2021-12-24T00:00:00Z
vaccinated,person,212,2021-12-24T00:00:00Z
1k,population,211,2021-12-24T00:00:00Z
flu,season,211,2021-12-24T00:00:00Z
police,chief,211,2021-12-24T00:00:00Z
travel,ban,211,2021-12-24T00:00:00Z
christmas,gift,210,2021-12-24T00:00:00Z
covid,deniers,210,2021-12-24T00:00:00Z
coronavirus,covid,209,2021-12-24T00:00:00Z
test,kit,209,2021-12-24T00:00:00Z
fighting,covid,208,2021-12-24T00:00:00Z
bubbasranch,4clearsky,207,2021-12-24T00:00:00Z
dec,23,207,2021-12-24T00:00:00Z
1,7,206,2021-12-24T00:00:00Z
bowl,game,206,2021-12-24T00:00:00Z
covid,hits,206,2021-12-24T00:00:00Z
fingers,crossed,206,2021-12-24T00:00:00Z
avoid,covid,205,2021-12-24T00:00:00Z
covid,ward,205,2021-12-24T00:00:00Z
omicron,spread,205,2021-12-24T00:00:00Z
covid,hope,204,2021-12-24T00:00:00Z
essential,workers,204,2021-12-24T00:00:00Z
celebrating,christmas,202,2021-12-24T00:00:00Z
covid,patient,202,2021-12-24T00:00:00Z
quarantine,period,202,2021-12-24T00:00:00Z
covid,era,201,2021-12-24T00:00:00Z
day,1,201,2021-12-24T00:00:00Z
im,gonna,201,2021-12-24T00:00:00Z
ingersolrobert,kenneth72712993,201,2021-12-24T00:00:00Z
severe,illness,201,2021-12-24T00:00:00Z
extended,family,200,2021-12-24T00:00:00Z
bbc,news,199,2021-12-24T00:00:00Z
grocery,store,199,2021-12-24T00:00:00Z
health,department,199,2021-12-24T00:00:00Z
taking,covid,199,2021-12-24T00:00:00Z
19,isolation,198,2021-12-24T00:00:00Z
manufacturing,company,198,2021-12-24T00:00:00Z
pujan,diwas,198,2021-12-24T00:00:00Z
tulsi,pujan,198,2021-12-24T00:00:00Z
25dec,tulsi,197,2021-12-24T00:00:00Z
antigen,test,197,2021-12-24T00:00:00Z
asymptomatic,people,197,2021-12-24T00:00:00Z
candace,owens,197,2021-12-24T00:00:00Z
coronavirus,vaccine,197,2021-12-24T00:00:00Z
covid,scare,197,2021-12-24T00:00:00Z
