word1,n,date
majority,1204,2021-09-04T00:00:00Z
8,1203,2021-09-04T00:00:00Z
event,1199,2021-09-04T00:00:00Z
gov,1196,2021-09-04T00:00:00Z
pass,1195,2021-09-04T00:00:00Z
hey,1193,2021-09-04T00:00:00Z
games,1192,2021-09-04T00:00:00Z
hokiesfb,1189,2021-09-04T00:00:00Z
president,1186,2021-09-04T00:00:00Z
visit,1182,2021-09-04T00:00:00Z
50,1171,2021-09-04T00:00:00Z
telling,1170,2021-09-04T00:00:00Z
record,1167,2021-09-04T00:00:00Z
air,1166,2021-09-04T00:00:00Z
medicine,1166,2021-09-04T00:00:00Z
oscar,1165,2021-09-04T00:00:00Z
youve,1165,2021-09-04T00:00:00Z
service,1163,2021-09-04T00:00:00Z
war,1163,2021-09-04T00:00:00Z
climate,1160,2021-09-04T00:00:00Z
hoya,1159,2021-09-04T00:00:00Z
running,1154,2021-09-04T00:00:00Z
beginning,1153,2021-09-04T00:00:00Z
wearamask,1151,2021-09-04T00:00:00Z
book,1149,2021-09-04T00:00:00Z
friday,1148,2021-09-04T00:00:00Z
shut,1148,2021-09-04T00:00:00Z
bring,1146,2021-09-04T00:00:00Z
move,1146,2021-09-04T00:00:00Z
accnetwork,1143,2021-09-04T00:00:00Z
afghanistan,1143,2021-09-04T00:00:00Z
paid,1143,2021-09-04T00:00:00Z
effect,1142,2021-09-04T00:00:00Z
potus,1142,2021-09-04T00:00:00Z
woman,1138,2021-09-04T00:00:00Z
boris,1136,2021-09-04T00:00:00Z
law,1136,2021-09-04T00:00:00Z
lose,1136,2021-09-04T00:00:00Z
24,1130,2021-09-04T00:00:00Z
power,1130,2021-09-04T00:00:00Z
worried,1130,2021-09-04T00:00:00Z
anymore,1129,2021-09-04T00:00:00Z
playing,1129,2021-09-04T00:00:00Z
protection,1126,2021-09-04T00:00:00Z
morning,1125,2021-09-04T00:00:00Z
businesses,1120,2021-09-04T00:00:00Z
transmission,1118,2021-09-04T00:00:00Z
couple,1116,2021-09-04T00:00:00Z
forced,1116,2021-09-04T00:00:00Z
patient,1114,2021-09-04T00:00:00Z
protocols,1113,2021-09-04T00:00:00Z
white,1108,2021-09-04T00:00:00Z
mother,1106,2021-09-04T00:00:00Z
received,1106,2021-09-04T00:00:00Z
nhs,1102,2021-09-04T00:00:00Z
unemployment,1102,2021-09-04T00:00:00Z
blood,1100,2021-09-04T00:00:00Z
keeping,1096,2021-09-04T00:00:00Z
governor,1094,2021-09-04T00:00:00Z
hasnt,1094,2021-09-04T00:00:00Z
plans,1093,2021-09-04T00:00:00Z
failed,1091,2021-09-04T00:00:00Z
son,1089,2021-09-04T00:00:00Z
bed,1088,2021-09-04T00:00:00Z
events,1086,2021-09-04T00:00:00Z
exposed,1085,2021-09-04T00:00:00Z
sir,1085,2021-09-04T00:00:00Z
active,1084,2021-09-04T00:00:00Z
opposing,1084,2021-09-04T00:00:00Z
wife,1083,2021-09-04T00:00:00Z
unvaxxed,1076,2021-09-04T00:00:00Z
class,1072,2021-09-04T00:00:00Z
fans,1069,2021-09-04T00:00:00Z
theyve,1069,2021-09-04T00:00:00Z
fall,1068,2021-09-04T00:00:00Z
desantis,1066,2021-09-04T00:00:00Z
adults,1064,2021-09-04T00:00:00Z
sep4coup,1054,2021-09-04T00:00:00Z
antivaxxers,1051,2021-09-04T00:00:00Z
nice,1051,2021-09-04T00:00:00Z
access,1050,2021-09-04T00:00:00Z
lower,1050,2021-09-04T00:00:00Z
records,1050,2021-09-04T00:00:00Z
oppose,1047,2021-09-04T00:00:00Z
required,1046,2021-09-04T00:00:00Z
glad,1044,2021-09-04T00:00:00Z
listen,1043,2021-09-04T00:00:00Z
august,1042,2021-09-04T00:00:00Z
tweet,1041,2021-09-04T00:00:00Z
2nd,1040,2021-09-04T00:00:00Z
catching,1038,2021-09-04T00:00:00Z
pcr,1038,2021-09-04T00:00:00Z
corona,1037,2021-09-04T00:00:00Z
takeactionnomorewords,1037,2021-09-04T00:00:00Z
force,1031,2021-09-04T00:00:00Z
republicans,1030,2021-09-04T00:00:00Z
forget,1029,2021-09-04T00:00:00Z
pre,1026,2021-09-04T00:00:00Z
abortion,1024,2021-09-04T00:00:00Z
governments,1022,2021-09-04T00:00:00Z
monks,1022,2021-09-04T00:00:00Z
lies,1021,2021-09-04T00:00:00Z
mandalay,1019,2021-09-04T00:00:00Z
worth,1017,2021-09-04T00:00:00Z
hospitalizations,1016,2021-09-04T00:00:00Z
shouldnt,1015,2021-09-04T00:00:00Z
breaking,1013,2021-09-04T00:00:00Z
period,1013,2021-09-04T00:00:00Z
calling,1011,2021-09-04T00:00:00Z
reduce,1010,2021-09-04T00:00:00Z
changed,1009,2021-09-04T00:00:00Z
movie,1008,2021-09-04T00:00:00Z
border,1007,2021-09-04T00:00:00Z
actual,1006,2021-09-04T00:00:00Z
late,1004,2021-09-04T00:00:00Z
politicians,1004,2021-09-04T00:00:00Z
truth,1004,2021-09-04T00:00:00Z
app,1001,2021-09-04T00:00:00Z
analogy,999,2021-09-04T00:00:00Z
ass,998,2021-09-04T00:00:00Z
buy,996,2021-09-04T00:00:00Z
march,996,2021-09-04T00:00:00Z
provide,996,2021-09-04T00:00:00Z
recently,995,2021-09-04T00:00:00Z
starting,995,2021-09-04T00:00:00Z
2019,994,2021-09-04T00:00:00Z
learning,991,2021-09-04T00:00:00Z
reporting,985,2021-09-04T00:00:00Z
wanna,985,2021-09-04T00:00:00Z
red,983,2021-09-04T00:00:00Z
takes,983,2021-09-04T00:00:00Z
lie,982,2021-09-04T00:00:00Z
1st,981,2021-09-04T00:00:00Z
leaders,980,2021-09-04T00:00:00Z
players,978,2021-09-04T00:00:00Z
send,976,2021-09-04T00:00:00Z
vaccinate,976,2021-09-04T00:00:00Z
avoid,975,2021-09-04T00:00:00Z
society,975,2021-09-04T00:00:00Z
lots,972,2021-09-04T00:00:00Z
services,972,2021-09-04T00:00:00Z
history,971,2021-09-04T00:00:00Z
refuse,969,2021-09-04T00:00:00Z
suffering,966,2021-09-04T00:00:00Z
mandatory,965,2021-09-04T00:00:00Z
difference,964,2021-09-04T00:00:00Z
vulnerable,964,2021-09-04T00:00:00Z
eligibility,962,2021-09-04T00:00:00Z
easy,961,2021-09-04T00:00:00Z
link,959,2021-09-04T00:00:00Z
angry,957,2021-09-04T00:00:00Z
advice,953,2021-09-04T00:00:00Z
enjoy,952,2021-09-04T00:00:00Z
apparently,951,2021-09-04T00:00:00Z
affected,950,2021-09-04T00:00:00Z
baby,946,2021-09-04T00:00:00Z
statedept,943,2021-09-04T00:00:00Z
tomorrow,940,2021-09-04T00:00:00Z
average,939,2021-09-04T00:00:00Z
ethiopia,938,2021-09-04T00:00:00Z
false,938,2021-09-04T00:00:00Z
loved,934,2021-09-04T00:00:00Z
special,933,2021-09-04T00:00:00Z
evicting,931,2021-09-04T00:00:00Z
hold,931,2021-09-04T00:00:00Z
reality,931,2021-09-04T00:00:00Z
spent,931,2021-09-04T00:00:00Z
summer,930,2021-09-04T00:00:00Z
80,929,2021-09-04T00:00:00Z
mass,929,2021-09-04T00:00:00Z
ready,929,2021-09-04T00:00:00Z
ahead,928,2021-09-04T00:00:00Z
loss,923,2021-09-04T00:00:00Z
senateforeign,923,2021-09-04T00:00:00Z
illadvised,922,2021-09-04T00:00:00Z
supposed,922,2021-09-04T00:00:00Z
kid,921,2021-09-04T00:00:00Z
agoa,920,2021-09-04T00:00:00Z
amazing,920,2021-09-04T00:00:00Z
hand,920,2021-09-04T00:00:00Z
houseforeign,920,2021-09-04T00:00:00Z
massive,920,2021-09-04T00:00:00Z
win,920,2021-09-04T00:00:00Z
ethioamericans,919,2021-09-04T00:00:00Z
repkarenbass,919,2021-09-04T00:00:00Z
source,917,2021-09-04T00:00:00Z
unityforethiopia,917,2021-09-04T00:00:00Z
forward,916,2021-09-04T00:00:00Z
9,915,2021-09-04T00:00:00Z
economic,913,2021-09-04T00:00:00Z
choose,911,2021-09-04T00:00:00Z
cost,911,2021-09-04T00:00:00Z
er,909,2021-09-04T00:00:00Z
funny,908,2021-09-04T00:00:00Z
risks,906,2021-09-04T00:00:00Z
worry,906,2021-09-04T00:00:00Z
joerogan,905,2021-09-04T00:00:00Z
recent,905,2021-09-04T00:00:00Z
short,903,2021-09-04T00:00:00Z
beat,901,2021-09-04T00:00:00Z
govrondesantis,901,2021-09-04T00:00:00Z
hotel,901,2021-09-04T00:00:00Z
